"Site_Id","Unit_Id","Read_Date","Salinity..ppt.","Dissolved.Oxygen..mg.L.","pH..standard.units.","Secchi.Depth..m.","Water.Depth..m.","Water.Temp...C.","Air.Temp.Celsius","Air.Temp...F.","Time..24.00.","Field_Tech","DateVerified","WhoVerified","AirTemp..C.","Year"
"bay",NA,1994-09-26,2.25,6.9,8.1,0.45,0.8,23,23,73.4,10H 15M 0S,NA,NA,NA,23,1994
"bay",NA,1994-10-10,2.5,8.4,8.1,0.45,0.5,17,17,62.6,10H 30M 0S,NA,NA,NA,17,1994
"bay",NA,1994-10-24,2.5,7.4,7.6,0.35,0.85,18,19,66.2,10H 20M 0S,NA,NA,NA,19,1994
"bay",NA,1994-11-07,2.5,9,7.3,0.2,0.5,15,15,59,10H 0M 0S,NA,NA,NA,15,1994
"bay",NA,1994-11-28,2.8,9.4,7.7,0.25,0.65,13,17.5,63.5,10H 30M 0S,NA,NA,NA,17.5,1994
"bay",NA,1994-12-12,2.5,11.4,6.9,0.35,0.4,5,5,41,11H 0M 0S,NA,NA,NA,5,1994
"bay",NA,1994-12-29,3,10.4,6.9,0.15,0.4,8,9.5,49.1,11H 0M 0S,NA,NA,NA,9.5,1994
"bay",NA,1989-05-11,NA,NA,7.5,0.3,0.9,17,NA,NA,NA,"John Phillips",NA,NA,-17.77777778,1989
"bay",NA,1989-05-18,NA,12,7.5,0.2,0.6,17.5,NA,68.9,21H 36M 0S,"John Phillips",NA,NA,20.5,1989
"bay",NA,1989-05-25,NA,NA,8,0.4,0.8,23,NA,77,NA,"John Phillips",NA,NA,25,1989
"bay",NA,1989-06-01,NA,12,8,0.4,0.9,25.5,NA,84.2,4H 48M 0S,"John Phillips",NA,NA,29,1989
"bay",NA,1989-07-11,NA,NA,8.5,0.3,0.9,28.5,NA,82.4,9H 36M 0S,"John Phillips",NA,NA,28,1989
"bay",NA,1989-07-20,NA,1.6,9,0.3,0.9,30,NA,90.5,12H 0M 0S,"John Phillips",NA,NA,32.5,1989
"bay",NA,1989-07-27,NA,6.2,9,0.3,0.8,27,NA,80.6,14H 24M 0S,"John Phillips",NA,NA,27,1989
"bay",NA,1989-08-03,NA,5.8,9.5,0.2,0.7,25,NA,82.4,9H 36M 0S,"John Phillips",NA,NA,28,1989
"bay",NA,1989-08-10,NA,3.2,9,0.2,0.3,21.5,NA,72.5,12H 0M 0S,"John Phillips",NA,NA,22.5,1989
"bay",NA,1989-08-17,NA,7.3,9,0.2,0.8,28,NA,84.2,4H 48M 0S,"John Phillips",NA,NA,29,1989
